sentence,label
"(c) Other California Rights * If you are a California resident, you can request a notice disclosing the categories of personal information we have shared with third parties for the third parties’ direct marketing purposes.",Data sharing
"Starbucks collects and uses the categories of personal information described in the “Information We Collect” section, including information you voluntarily provide us (such as your name and email), information we collect automatically, and information from other sources to operate the Starbucks® Rewards loyalty program, including to send you promotions, content, and special offers and the other uses described in this Notice.",Data collection
You can learn about the business partners with whom we share your information by referring to the “How We Disclose Your Information” section.,Data sharing
Starbucks does not assign monetary value for the information we collect through the Starbucks® Rewards loyalty program when sending email communications.,Data collection
"You may opt out of receiving promotional emails at any time by adjusting your Starbucks online account settings, or by clicking the “unsubscribe” link included within any promotional emails we send you.",Opt out
"(a) Lawful Bases of Processing – Where a Starbucks entity is acting as a data controller that determines the purposes and means of processing your personal data, such as when we collect, use, and share personal data as described in this Notice, we must have a lawful basis for processing for doing so.",Data collection
"(b) Your EEA Data Subject Rights – Under certain circumstances, by law you have the right to: * Request access to your personal information (commonly known as a “data subject access request”).",User rights
"* Object to processing of your personal information where we are relying on a legitimate interest (or those of a third party), or where we are processing your personal information for direct marketing purposes.",Data sharing
"* Not be subject to automated decision-making producing legal or significant effects on an individual, which we do not engage in.",AI data
"(e) Complaints – If you have any issues with our compliance, you have the right to lodge a complaint with an EEA supervisory authority (link).",User rights
"Starbucks is responsible for the processing of personal data it receives under the EU-U.S. DPF, the UK Extension to the EU-U.S. DPF, and Swiss-U.S. DPF and subsequently transfers to a third party acting as an agent on its behalf.",Data sharing
Third parties may unsubscribe from any future communication following the link provided in the initial message or by submitting a Privacy Request.,Opt out
"You can manage your communication preferences at any time through the following methods: ●​ By following the instructions included in each promotional email from us to unsubscribe from that mailing ●​ By completing and submitting this form or by contacting us via mail at: Cisco Systems, Inc., Privacy Office, 170 West Tasman Dr., San Jose, CA 95134, USA.",Opt out
"To opt out of Cisco disclosing to third parties for their marketing purposes, please submit a Privacy Request.",Opt out
"To opt out of Cisco disclosing to third parties for their marketing purposes, please submit a Privacy Request.",Opt out
"Cisco implements physical, technical, and organizational safeguards designed to protect your Personal Data from accidental or unlawful destruction, loss, alteration, and unauthorized disclosure or access.",Data security
"Where this type of third party advertising is disabled, generic, non-personalized ads will continue to be displayed.",Data sharing
"For more information, or if you would like to opt out of interest-based advertising, see How Cisco Uses Automatic Data Collection Tools.",Opt out
"To update your cookie preferences, click the “Cookies” or ""Cookies / Do not sell or share my personal data"" link at the bottom of any page on this website.",Opt out
Automated decision-making We process Personal Data using both manual and automated methods of processing.,AI data
"Where an individual's rights and legitimate interests may be impacted by such automated decision-making, we will provide the impacted individual the opportunity to inquire about the decision or request manual review.",AI data
"Linked websites and third-party Apps We may provide access or links to third-party websites, Apps, and services that are outside Cisco's control and governed by the respective third party’s privacy policy, not by this Privacy Statement.",Data sharing
"Cisco safeguards and enables the global transfer of Personal Data in a number of ways: ●​ APEC Privacy Certification​ ​ Cisco's global privacy program, described in this Privacy Statement, complies with the Asia Pacific Economic Cooperation (APEC) Cross-Border Privacy Rules system (CBPRs) and Privacy Recognition for Processors (PRP).",Data security
Cisco's EU Binding Corporate Rules—Controller (EU BCR-C) provide that international transfers made worldwide by Cisco entities bound by these rules as a controller of European Personal Data benefit from appropriate safeguards.​ ​ A copy of our EU BCR-C can be found in our Global Privacy Policy.,Data security
"(and Gibraltar)/Swiss - U.S. transfer of Personal Data​ ​ When we transfer Personal Data out of the European Union (“EU”), European Economic Area (“EEA”), the United Kingdom (“U.K.”)(and Gibraltar), and Switzerland to countries that do not benefit from an adequacy decision, we may rely on Standard Contractual Clauses, Binding Corporate Rules—Controller, or other legal transfer mechanisms with appropriate safeguards in place to protect Personal Data.",Data security
"Binding Corporate Rules—Controller Cisco's global privacy program and policies have been approved by U.K.’s Information Commissioner’s Office, as providing additional safeguards for the protection of privacy, fundamental rights, and freedoms of individuals for transfers of Personal Data protected under U.K. law.",Data security
Personal Data benefit from appropriate safeguards.,Data security
Each category of data that may be used by Cisco or shared with third parties is categorically outlined in this Privacy Statement.,Data sharing
"For more information on how to make such a request, please see “Use of cookies and similar technologies” above or click the ""Cookies / Do not sell or share my personal data"" or “Cookies” link at the bottom of any page on this website.",Opt out
"California consumers have a right to: (1) request access, correction, and deletion of their Personal Data, (2) opt out of the sale or sharing of their Personal Data, and (3) not be discriminated against for exercising one of their California privacy rights.",Opt out
"For more information on how to make a request to opt out of sharing certain Personal Data, please see “Use of cookies and similar technologies” above or click the “Cookies/Do not sell or share my personal data"" or “Cookies” in the website footer.",Opt out
"Alternatively, the law provides that if the company has a privacy policy that gives either an opt out or opt in choice for use of your Personal Data by third parties (such as advertisers) for marketing purposes, the company may instead provide you with information on how to exercise your disclosure choice options.",Opt out
